,keys,clicks,impressions,ctr,position
0,['インスタベース'],5749.0,10995.0,0.5228740336516599,1.0023647112323784
1,['レンタルルーム'],1362.0,20227.0,0.06733573935828348,4.286547683788995
2,['レンタルスペース'],1328.0,30229.0,0.04393132422508188,5.259419762479738
3,['instabase'],666.0,1214.0,0.5485996705107083,5.605436573311367
4,['five 五反田 レンタルキッチン'],507.0,637.0,0.7959183673469388,5.748822605965463
5,['レンタルキッチン'],506.0,4240.0,0.11933962264150944,3.9113207547169813
6,['レンタルサロン'],443.0,1596.0,0.2775689223057644,2.019423558897243
7,['レンタルスタジオ'],414.0,3903.0,0.10607225211375865,2.6297719702792723
8,['五反田 five レンタルキッチン'],376.0,1149.0,0.32724107919930373,6.003481288076588
9,['レンタルスペース 東京'],370.0,3196.0,0.11576971214017522,2.9978097622027535
10,['レンタルキッチン 東京'],364.0,910.0,0.4,1.978021978021978
11,['ダンススタジオ レンタル'],344.0,1894.0,0.1816261879619852,3.073917634635692
12,['レンタルスペース 大阪'],343.0,3134.0,0.10944479897894065,3.348755583918315
13,['レンタルルーム 東京'],296.0,2748.0,0.10771470160116449,3.999272197962154
14,['パーティールーム'],286.0,1690.0,0.16923076923076924,2.6029585798816566
15,['インスタスペース'],243.0,313.0,0.7763578274760383,1.1150159744408945
16,['インターベース'],241.0,378.0,0.6375661375661376,1.0
17,['貸し会議室'],233.0,15139.0,0.015390712728713918,6.437413303388599
18,['新宿 レンタルスペース'],211.0,2043.0,0.10327949094468918,3.366128242780225
19,['レンタルスペース 新宿'],204.0,2019.0,0.10104011887072809,3.323922734026746
20,['会議室 レンタル'],196.0,2587.0,0.07576343254735214,4.2172400463857755
21,['シアタールーム レンタル'],194.0,617.0,0.31442463533225284,3.8946515397082657
22,['カップルルーム 大阪'],185.0,651.0,0.28417818740399386,2.6205837173579107
23,['貸しスタジオ'],178.0,2361.0,0.07539178314273613,2.5853451927149513
24,['部屋 レンタル 1日 カップル'],171.0,885.0,0.19322033898305085,4.020338983050848
25,['ポップアップストア'],168.0,7427.0,0.022620169651272386,6.909923252995826
26,['池袋 レンタルスペース'],167.0,1387.0,0.12040374909877433,3.0778658976207645
27,['渋谷 ダンススタジオ'],158.0,1191.0,0.13266162888329136,2.5743073047858944
28,['レンタルスペース 池袋'],156.0,1058.0,0.14744801512287334,3.064272211720227
29,['渋谷 レンタルスペース'],152.0,1509.0,0.10072895957587806,5.901259111994698
30,['シアタールーム レンタル 都内'],150.0,218.0,0.6880733944954128,1.1009174311926606
31,['池袋 レンタルルーム'],148.0,1752.0,0.08447488584474885,5.969748858447488
32,['インスタベース 大阪'],138.0,189.0,0.7301587301587301,1.0
33,['スタジオ レンタル'],137.0,1058.0,0.12948960302457466,2.4763705103969755
34,['貸しスペース'],136.0,1813.0,0.07501378929950359,3.929950358521787
35,['シェアサロン'],131.0,1977.0,0.06626201315123925,5.166919575113809
36,['レンタルルーム 大阪'],128.0,813.0,0.15744157441574416,3.4920049200492005
37,['貸し会議室 東京'],126.0,3437.0,0.03665987780040733,4.566482397439628
38,['渋谷 レンタルスタジオ'],124.0,712.0,0.17415730337078653,2.0266853932584272
39,['キッチンスタジオ'],120.0,2368.0,0.05067567567567568,4.19383445945946
40,['レンタルキッチン 大阪'],120.0,543.0,0.22099447513812154,3.162062615101289
41,['レンタルスタジオ 大阪'],117.0,711.0,0.16455696202531644,2.0042194092827
42,['レンタルハウス'],117.0,1979.0,0.059120768064679134,5.827690752905508
43,['個室で作業できる場所'],117.0,336.0,0.3482142857142857,2.0863095238095237
44,['キッチン レンタル'],115.0,1059.0,0.10859301227573183,4.32766761095373
45,['ピアノ 練習室'],115.0,491.0,0.23421588594704684,4.0733197556008145
