,key_0,key_1,clicks_1,ctr_1,impressions_1,position_1,clicks_2,ctr_2,impressions_2,position_2
210,渋谷 貸し会議室 少人数,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,1.0,0.16666666666666666,6.0,2.0,0.0,0.0,12.0,2.0
61,渋谷 貸し会議室 少人数,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,3.0,0.5,6.0,1.0,3.0,0.25,12.0,1.0
1094,渋谷 貸し会議室 格安,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0
1093,渋谷 貸し会議室 格安,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,4.0,4.75,0.0,0.0,4.0,4.75
211,渋谷 貸し会議室 格安,https://www.instabase.jp/tokyo-s1130205,1.0,0.2,5.0,3.8,0.0,0.0,6.0,3.8333333333333335
1102,渋谷 貸会議室,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,8.0,7.0,0.0,0.0,7.0,6.428571428571429
212,渋谷 貸会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,1.0,0.010638297872340425,94.0,6.425531914893617,1.0,0.008695652173913044,115.0,6.495652173913044
1103,渋谷 貸会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,94.0,6.425531914893617,3.0,0.02586206896551724,116.0,6.422413793103448
40,渋谷 貸会議室 少人数,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,4.0,0.5,8.0,1.75,2.0,0.3333333333333333,6.0,3.8333333333333335
1105,渋谷 貸会議室 少人数,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,8.0,7.25,1.0,0.16666666666666666,6.0,5.166666666666667
213,渋谷 貸会議室 少人数,https://www.instabase.jp/tokyo-s1130205,1.0,0.25,4.0,11.0,,,,
214,渋谷 貸会議室 少人数,https://www.instabase.jp/tokyo/list/small-private,1.0,0.2,5.0,9.0,,,,
1104,渋谷 貸会議室 少人数,https://www.instabase.jp/tokyo-s1130101/list/small-private-kaigishitsu,0.0,0.0,2.0,11.5,,,,
1398,渋谷 貸会議室 格安,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,,,,,1.0,0.3333333333333333,3.0,5.333333333333333
1713,渋谷 貸会議室 格安,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,,,,,0.0,0.0,3.0,4.0
1182,渋谷スクランブルスクエア 貸し会議室,https://www.instabase.jp/space/31125988,0.0,0.0,2.0,6.0,0.0,0.0,2.0,9.5
1219,渋谷会議室,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,13.0,6.846153846153846,0.0,0.0,3.0,5.0
1220,渋谷会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,20.0,5.2,0.0,0.0,12.0,4.916666666666666
1221,渋谷会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,5.0,5.8,0.0,0.0,9.0,6.0
1246,渋谷区 会議室,https://www.instabase.jp/tokyo-w13113,0.0,0.0,8.0,8.75,1.0,0.05555555555555555,18.0,8.666666666666668
1250,渋谷区 貸し会議室,https://www.instabase.jp/tokyo-w13113,0.0,0.0,32.0,6.125,0.0,0.0,28.0,6.607142857142857
1251,渋谷区 貸し会議室,https://www.instabase.jp/tokyo-w13113-kaigishitsu,0.0,0.0,1.0,7.0,0.0,0.0,8.0,7.875
1248,渋谷区 貸し会議室,https://www.instabase.jp/space/4053417113,0.0,0.0,1.0,9.0,,,,
1249,渋谷区 貸し会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,30.0,7.2,0.0,0.0,20.0,8.15
1252,渋谷区 貸会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,9.0,7.0,,,,
1253,渋谷区 貸会議室,https://www.instabase.jp/tokyo-w13113,0.0,0.0,13.0,6.0,0.0,0.0,8.0,5.875
1254,渋谷区 貸会議室,https://www.instabase.jp/tokyo-w13113-kaigishitsu,0.0,0.0,3.0,7.0,0.0,0.0,7.0,7.0
1255,渋谷区 貸会議室,https://www.instabase.jp/tokyo-w13113/list/morning-kaigishitsu,0.0,0.0,1.0,7.0,,,,
1278,渋谷宮益坂上会議室,https://www.instabase.jp/space/2495,0.0,0.0,1.0,3.0,0.0,0.0,2.0,7.5
1279,渋谷宮益坂上会議室,https://www.instabase.jp/space/3430,0.0,0.0,1.0,4.0,0.0,0.0,1.0,15.0
1284,渋谷貸し会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,4.0,5.25,,,,
234,渋谷貸し会議室,https://www.instabase.jp/tokyo-s1130205,1.0,0.3333333333333333,3.0,6.666666666666667,0.0,0.0,4.0,6.75
1283,渋谷貸し会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,6.0,5.5,1.0,0.125,8.0,5.125
235,渋谷貸し会議室caispace,https://www.instabase.jp/space/9359107067,1.0,0.5,2.0,2.0,0.0,0.0,5.0,3.0
1285,渋谷貸会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,1.0,7.0,0.0,0.0,3.0,5.666666666666667
1774,渋谷貸会議室,https://www.instabase.jp/tokyo-s1130205,,,,,0.0,0.0,2.0,6.5
1286,渋谷貸会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,1.0,6.0,0.0,0.0,1.0,7.0
1402,渋谷道玄坂 貸し会議室,https://www.instabase.jp/space/1493465690,,,,,1.0,1.0,1.0,3.0
1306,渋谷駅 会議室,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,10.0,5.3,0.0,0.0,8.0,5.375
